#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Gossypium thurberi","Eukaryota;Plants;Land Plants","35","SAMN09928035","PRJNA488266","GCA_004027125.1"," Chromosome",582.007,34.2402,"chromosome 1:CM013378.1; chromosome 2:CM013379.1; chromosome 3:CM013380.1; chromosome 4:CM013381.1; chromosome 5:CM013382.1; chromosome 6:CM013383.1; chromosome 7:CM013384.1; chromosome 8:CM013385.1; chromosome 9:CM013386.1; chromosome 10:CM013387.1; chromosome 11:CM013388.1; chromosome 12:CM013389.1; chromosome 13:CM013390.1","RCOT01",15297,0,"2018-12-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/125/GCA_004027125.1_Gothu_v1",
"Ananas comosus","Eukaryota;Plants;Land Plants","","SAMN04316497","PRJNA371634","GCA_001540865.1"," Chromosome",382.056,38.5371,"linkage group 1:NC_033621.1/CM003813.1; linkage group 2:NC_033622.1/CM003814.1; linkage group 3:NC_033623.1/CM003815.1; linkage group 4:NC_033624.1/CM003816.1; linkage group 5:NC_033625.1/CM003817.1; linkage group 6:NC_033626.1/CM003818.1; linkage group 7:NC_033627.1/CM003819.1; linkage group 8:NC_033628.1/CM003820.1; linkage group 9:NC_033629.1/CM003821.1; linkage group 10:NC_033630.1/CM003822.1; linkage group 11:NC_033631.1/CM003823.1; linkage group 12:NC_033632.1/CM003824.1; linkage group 13:NC_033633.1/CM003825.1; linkage group 14:NC_033634.1/CM003826.1; linkage group 15:NC_033635.1/CM003827.1; linkage group 16:NC_033636.1/CM003828.1; linkage group 17:NC_033637.1/CM003829.1; linkage group 18:NC_033638.1/CM003830.1; linkage group 19:NC_033639.1/CM003831.1; linkage group 20:NC_033640.1/CM003832.1; linkage group 21:NC_033641.1/CM003833.1; linkage group 22:NC_033642.1/CM003834.1; linkage group 23:NC_033643.1/CM003835.1; linkage group 24:NC_033644.1/CM003836.1; linkage group 25:NC_033645.1/CM003837.1; chloroplast Pltd:NC_026220.1/","LODP01",3129,35775,"2016-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/540/865/GCA_001540865.1_ASM154086v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/540/865/GCF_001540865.1_ASM154086v1"
"Punica granatum","Eukaryota;Plants;Land Plants","Tunisia-2019","SAMN05193489","PRJNA580467","GCA_007655135.2"," Chromosome",320.494,40.3699,"chromosome 1:NC_045127.1/CM018611.1; chromosome 2:NC_045128.1/CM018612.1; chromosome 3:NC_045129.1/CM018613.1; chromosome 4:NC_045130.1/CM018614.1; chromosome 5:NC_045131.1/CM018615.1; chromosome 6:NC_045132.1/CM018616.1; chromosome 7:NC_045133.1/CM018617.1; chromosome 8:NC_045134.1/CM018618.1; chloroplast Pltd:NC_035240.1/","MABG02",474,36608,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/655/135/GCA_007655135.2_ASM765513v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/655/135/GCF_007655135.1_ASM765513v2"
"Leishmania panamensis","Eukaryota;Protists;Kinetoplasts","MHOM/PA/94/PSC-1","SAMN02991529","PRJNA261718","GCA_000755165.1"," Chromosome",30.6888,57.3879,"chromosome 1:NC_025854.1/CP009370.1; chromosome 2:NC_025865.1/CP009371.1; chromosome 3:NC_025876.1/CP009372.1; chromosome 4:NC_025883.1/CP009373.1; chromosome 5:NC_025884.1/CP009374.1; chromosome 6:NC_025885.1/CP009375.1; chromosome 7:NC_025886.1/CP009376.1; chromosome 8:NC_025887.1/CP009377.1; chromosome 9:NC_025888.1/CP009378.1; chromosome 10:NC_025855.1/CP009379.1; chromosome 11:NC_025856.1/CP009380.1; chromosome 12:NC_025857.1/CP009381.1; chromosome 13:NC_025858.1/CP009382.1; chromosome 14:NC_025859.1/CP009383.1; chromosome 15:NC_025860.1/CP009384.1; chromosome 16:NC_025861.1/CP009385.1; chromosome 17:NC_025862.1/CP009386.1; chromosome 18:NC_025863.1/CP009387.1; chromosome 19:NC_025864.1/CP009388.1; chromosome 20:NC_025866.1/CP009389.1; chromosome 21:NC_025867.1/CP009390.1; chromosome 22:NC_025868.1/CP009391.1; chromosome 23:NC_025869.1/CP009392.1; chromosome 24:NC_025870.1/CP009393.1; chromosome 25:NC_025871.1/CP009394.1; chromosome 26:NC_025872.1/CP009395.1; chromosome 27:NC_025873.1/CP009396.1; chromosome 28:NC_025874.1/CP009397.1; chromosome 29:NC_025875.1/CP009398.1; chromosome 30:NC_025877.1/CP009399.1; chromosome 31:NC_025878.1/CP009400.1; chromosome 32:NC_025879.1/CP009401.1; chromosome 33:NC_025880.1/CP009402.1; chromosome 34:NC_025881.1/CP009403.1; chromosome 35:NC_025882.1/CP009404.1",,35,7748,"2014-09-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/165/GCA_000755165.1_ASM75516v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/165/GCF_000755165.1_ASM75516v1"
"Endotrypanum monterogeii","Eukaryota;Protists;Kinetoplasts","LV88","SAMN01129977","PRJNA165953","GCA_000333855.2"," Chromosome",32.5204,52.6723,"chromosome 1:CM007321.1; chromosome 2:CM007322.1; chromosome 3:CM007323.1; chromosome 4:CM007324.1; chromosome 5:CM007325.1; chromosome 6:CM007326.1; chromosome 7:CM007327.1; chromosome 8:CM007328.1; chromosome 9:CM007329.1; chromosome 10:CM007330.1; chromosome 11:CM007331.1; chromosome 12:CM007332.1; chromosome 13:CM007333.1; chromosome 14:CM007334.1; chromosome 15:CM007335.1; chromosome 16:CM007336.1; chromosome 17:CM007337.1; chromosome 18:CM007338.1; chromosome 19:CM007339.1; chromosome 20:CM007340.1; chromosome 21:CM007341.1; chromosome 22:CM007342.1; chromosome 23:CM007343.1; chromosome 24:CM007344.1; chromosome 25:CM007345.1; chromosome 26:CM007346.1; chromosome 27:CM007347.1; chromosome 28:CM007348.1; chromosome 29:CM007349.1; chromosome 30:CM007314.1; chromosome 31:CM007315.1; chromosome 32:CM007316.1; chromosome 33:CM007317.1; chromosome 34:CM007318.1; chromosome 35:CM007319.1; chromosome 36:CM007320.1","AOFS02",1959,0,"2013-01-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/855/GCA_000333855.2_Endotrypanum_monterogeii-LV88-1.0.3",
"Pachypsylla venusta","Eukaryota;Animals;Insects","AUS-FW-20181119","SAMN13937367","PRJNA603545","GCA_012654025.1"," Chromosome",481.97,35.7284,"chromosome 1:CM022874.1; chromosome 2:CM022875.1; chromosome 3:CM022876.1; chromosome 4:CM022877.1; chromosome 5:CM022878.1; chromosome 6:CM022879.1; chromosome 7:CM022880.1; chromosome 8:CM022881.1; chromosome 9:CM022882.1; chromosome 10:CM022883.1; chromosome 11:CM022884.1; chromosome X:CM022885.1","JAAEEI01",39856,0,"2020-04-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/654/025/GCA_012654025.1_Pven_dovetail",
"Chroomonas mesostigmatica CCMP1168","Eukaryota;Protists;Other Protists","CCMP1168","","PRJNA260939","GCA_000286095.1"," Chromosome",0.702852,25.9335,"chromosome 1:CP003680.1; chromosome 2:CP003681.1; chromosome 3:CP003682.1",,3,505,"2012-08-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/095/GCA_000286095.1_ASM28609v1",
"Plasmodium cynomolgi strain B","Eukaryota;Protists;Apicomplexans","B","SAMD00016567","PRJDA49901","GCA_000321355.1"," Chromosome",26.1813,40.5946,"chromosome 1:NC_020396.1/DF157093.1; chromosome 2:NC_020395.1/DF157094.1; chromosome 3:NC_020397.1/DF157095.1; chromosome 4:NC_020408.1/DF157096.1; chromosome 5:NC_020398.1/DF157097.1; chromosome 6:NC_020399.1/DF157098.1; chromosome 7:NC_020400.1/DF157099.1; chromosome 8:NC_020401.1/DF157100.1; chromosome 9:NC_020402.1/DF157101.1; chromosome 10:NC_020403.1/DF157102.1; chromosome 11:NC_020404.1/DF157103.1; chromosome 12:NC_020405.1/DF157104.1; chromosome 13:NC_020406.1/DF157105.1; chromosome 14:NC_020407.1/DF157106.1","BAEJ01",1663,5716,"2012-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/321/355/GCA_000321355.1_PcynB_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/355/GCF_000321355.1_PcynB_1.0"
"Camelina sativa","Eukaryota;Plants;Land Plants","","SAMN02644653","PRJNA264159","GCA_000633955.1"," Chromosome",641.356,37.4934,"chromosome 1:NC_025685.1/CM002729.1; chromosome 2:NC_025686.1/CM002730.1; chromosome 3:NC_025687.1/CM002731.1; chromosome 4:NC_025688.1/CM002732.1; chromosome 5:NC_025689.1/CM002733.1; chromosome 6:NC_025690.1/CM002734.1; chromosome 7:NC_025691.1/CM002735.1; chromosome 8:NC_025692.1/CM002736.1; chromosome 9:NC_025693.1/CM002737.1; chromosome 10:NC_025694.1/CM002738.1; chromosome 11:NC_025695.1/CM002739.1; chromosome 12:NC_025696.1/CM002740.1; chromosome 13:NC_025697.1/CM002741.1; chromosome 14:NC_025698.1/CM002742.1; chromosome 15:NC_025699.1/CM002743.1; chromosome 16:NC_025700.1/CM002744.1; chromosome 17:NC_025701.1/CM002745.1; chromosome 18:NC_025702.1/CM002746.1; chromosome 19:NC_025703.1/CM002747.1; chromosome 20:NC_025704.1/CM002748.1","JFZQ01",37212,107481,"2014-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/955/GCA_000633955.1_Cs","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/955/GCF_000633955.1_Cs"
"Numida meleagris","Eukaryota;Animals;Birds","19003","SAMN05969731","PRJNA352321","GCA_002078875.2"," Chromosome",1043.26,41.8975,"chromosome 1:NC_034409.1/CM007814.2; chromosome 2:NC_034410.1/CM007815.2; chromosome 3:NC_034411.1/CM007816.2; chromosome 4:NC_034412.1/CM007817.2; chromosome 5:NC_034413.1/CM007818.2; chromosome 6:NC_034414.1/CM007819.2; chromosome 7:NC_034415.1/CM007820.2; chromosome 8:NC_034416.1/CM007821.2; chromosome 9:NC_034417.1/CM007822.2; chromosome 10:NC_034418.1/CM007823.2; chromosome 11:NC_034419.1/CM007824.2; chromosome 12:NC_034420.1/CM007825.2; chromosome 13:NC_034421.1/CM007826.2; chromosome 14:NC_034422.1/CM007827.1; chromosome 15:NC_034423.1/CM007828.1; chromosome 16:NC_034424.1/CM007829.1; chromosome 17:NC_034425.1/CM007830.2; chromosome 18:NC_034426.1/CM007831.1; chromosome 19:NC_034427.1/CM007832.2; chromosome 20:NC_034428.1/CM007833.1; chromosome 21:NC_034429.1/CM007834.2; chromosome 22:NC_034430.1/CM007835.2; chromosome 23:NC_034431.1/CM007836.1; chromosome 24:NC_034432.1/CM007837.2; chromosome 25:NC_034433.1/CM007838.2; chromosome 26:NC_034434.1/CM007839.1; chromosome 27:NC_034435.1/CM007840.2; chromosome 31:NC_034436.1/CM007841.1; chromosome 32:NC_034437.1/CM007842.2; chromosome Z:NC_034438.1/CM007843.2; linkage group LGE64:NC_034439.1/CM007844.2; mitochondrion MT:NC_034374.1/KY865420.1","MTSP01",2739,43240,"2017-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/875/GCA_002078875.2_NumMel1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/875/GCF_002078875.1_NumMel1.0"
"Takifugu flavidus","Eukaryota;Animals;Fishes","HTHZ2018","SAMN10077091","PRJNA491395","GCA_003711565.2"," Chromosome",366.287,45.623,"chromosome 1:CM011069.1; chromosome 2:CM011070.1; chromosome 3:CM011071.1; chromosome 4:CM011072.1; chromosome 5:CM011073.1; chromosome 6:CM011074.1; chromosome 7:CM011075.1; chromosome 8:CM011076.1; chromosome 9:CM011077.1; chromosome 10:CM011078.1; chromosome 11:CM011079.1; chromosome 12:CM011080.1; chromosome 13:CM011081.1; chromosome 14:CM011082.1; chromosome 15:CM011083.1; chromosome 16:CM011084.1; chromosome 17:CM011085.1; chromosome 18:CM011086.1; chromosome 19:CM011087.2; chromosome 20:CM011088.1; chromosome 21:CM011089.1; chromosome 22:CM011090.1","RHFK02",867,29408,"2018-11-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/565/GCA_003711565.2_ASM371156v2",
"Spodoptera litura","Eukaryota;Animals;Insects","Ishihara","SAMN05845584","PRJNA416314","GCA_002706865.1"," Chromosome",438.956,36.8924,"chromosome 1:NC_036187.1/CM008392.1; chromosome 2:NC_036188.1/CM008393.1; chromosome 3:NC_036189.1/CM008394.1; chromosome 4:NC_036190.1/CM008395.1; chromosome 5:NC_036191.1/CM008396.1; chromosome 6:NC_036192.1/CM008397.1; chromosome 7:NC_036193.1/CM008398.1; chromosome 8:NC_036194.1/CM008399.1; chromosome 9:NC_036195.1/CM008400.1; chromosome 10:NC_036196.1/CM008401.1; chromosome 11:NC_036197.1/CM008402.1; chromosome 12:NC_036198.1/CM008403.1; chromosome 13:NC_036199.1/CM008404.1; chromosome 14:NC_036200.1/CM008405.1; chromosome 15:NC_036201.1/CM008406.1; chromosome 16:NC_036202.1/CM008407.1; chromosome 17:NC_036203.1/CM008408.1; chromosome 18:NC_036204.1/CM008409.1; chromosome 19:NC_036205.1/CM008410.1; chromosome 20:NC_036206.1/CM008411.1; chromosome 21:NC_036207.1/CM008412.1; chromosome 22:NC_036208.1/CM008413.1; chromosome 23:NC_036209.1/CM008414.1; chromosome 24:NC_036210.1/CM008415.1; chromosome 25:NC_036211.1/CM008416.1; chromosome 26:NC_036212.1/CM008417.1; chromosome 27:NC_036213.1/CM008418.1; chromosome 28:NC_036214.1/CM008419.1; chromosome 29:NC_036215.1/CM008420.1; chromosome 30:NC_036216.1/CM008421.1; chromosome Z:NC_036217.1/CM008422.1; mitochondrion MT:NC_022676.1/","MTZO01",3598,24319,"2017-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/865/GCA_002706865.1_ASM270686v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/865/GCF_002706865.1_ASM270686v1"
"Leishmania aethiopica L147","Eukaryota;Protists;Kinetoplasts","L147","SAMN02214601","PRJNA169673","GCA_000444285.2"," Chromosome",31.6308,59.7916,"chromosome 1:CM007214.1; chromosome 2:CM007215.1; chromosome 3:CM007216.1; chromosome 4:CM007217.1; chromosome 5:CM007218.1; chromosome 6:CM007219.1; chromosome 7:CM007220.1; chromosome 8:CM007221.1; chromosome 9:CM007222.1; chromosome 10:CM007223.1; chromosome 11:CM007224.1; chromosome 12:CM007225.1; chromosome 13:CM007226.1; chromosome 14:CM007227.1; chromosome 15:CM007228.1; chromosome 16:CM007229.1; chromosome 17:CM007230.1; chromosome 18:CM007231.1; chromosome 19:CM007232.1; chromosome 20:CM007233.1; chromosome 21:CM007234.1; chromosome 22:CM007235.1; chromosome 23:CM007236.1; chromosome 24:CM007237.1; chromosome 25:CM007238.1; chromosome 26:CM007239.1; chromosome 27:CM007240.1; chromosome 28:CM007241.1; chromosome 29:CM007242.1; chromosome 30:CM007207.1; chromosome 31:CM007208.1; chromosome 32:CM007209.1; chromosome 33:CM007210.1; chromosome 34:CM007211.1; chromosome 35:CM007212.1; chromosome 36:CM007213.1","AUMB02",160,0,"2013-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/285/GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3",
"Fusarium pseudograminearum CS3096","Eukaryota;Fungi;Ascomycetes","CS3096","SAMN02981337","PRJNA66583","GCA_000303195.2"," Chromosome",36.9733,47.7506,"chromosome 1:NC_031951.1/CM003198.1; chromosome 2:NC_031952.1/CM003199.1; chromosome 3:NC_031953.1/CM003200.1; chromosome 4:NC_031954.1/CM003201.1","AFNW01",281,12397,"2012-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/195/GCA_000303195.2_FP7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/303/195/GCF_000303195.2_FP7"
"Ogataea parapolymorpha DL-1","Eukaryota;Fungi;Ascomycetes","DL-1","SAMN02981294","PRJNA60503","GCA_000187245.3"," Chromosome",8.87459,47.8672,"chromosome I:NC_027866.1/CM002300.1; chromosome II:NC_027865.1/CM002301.1; chromosome III:NC_027864.1/CM002302.1; chromosome IV:NC_027863.1/CM002303.1; chromosome V:NC_027862.1/CM002304.1; chromosome VI:NC_027861.1/CM002305.1; chromosome VII:NC_027860.1/CM002306.1","AEOI02",7,10650,"2011-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/245/GCA_000187245.3_Hansenula_2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/245/GCF_000187245.1_Hansenula_2"
"Leishmania mexicana MHOM/GT/2001/U1103","Eukaryota;Protists;Kinetoplasts","MHOM/GT/2001/U1103","SAMEA2272796","PRJEA60403","GCA_000234665.4"," Chromosome",32.1087,59.7793,"chromosome 1:NC_018305.1/FR799554.1; chromosome 2:NC_018306.1/FR799555.1; chromosome 3:NC_018307.1/FR799556.1; chromosome 4:NC_018308.1/FR799557.1; chromosome 5:NC_018309.1/FR799558.1; chromosome 6:NC_018310.1/FR799559.1; chromosome 7:NC_018311.1/FR799560.1; chromosome 8:NC_018312.1/FR799561.1; chromosome 9:NC_018313.1/FR799562.1; chromosome 10:NC_018314.1/FR799563.1; chromosome 11:NC_018315.1/FR799564.1; chromosome 12:NC_018316.1/FR799565.1; chromosome 13:NC_018317.1/FR799566.1; chromosome 14:NC_018318.1/FR799567.1; chromosome 15:NC_018319.1/FR799568.1; chromosome 16:NC_018320.1/FR799569.1; chromosome 17:NC_018321.1/FR799570.1; chromosome 18:NC_018322.1/FR799571.1; chromosome 19:NC_018323.1/FR799572.1; chromosome 20:NC_018324.1/FR799573.1; chromosome 21:NC_018325.1/FR799574.1; chromosome 22:NC_018326.1/FR799575.1; chromosome 23:NC_018327.1/FR799576.1; chromosome 24:NC_018328.1/FR799577.1; chromosome 25:NC_018329.1/FR799578.1; chromosome 26:NC_018330.1/FR799579.1; chromosome 27:NC_018331.1/FR799580.1; chromosome 28:NC_018332.1/FR799581.1; chromosome 29:NC_018333.1/FR799582.1; chromosome 30:NC_018334.1/FR799583.1; chromosome 31:NC_018335.1/FR799584.1; chromosome 32:NC_018336.1/FR799585.1; chromosome 33:NC_018337.1/FR799586.1; chromosome 34:NC_018338.1/FR799587.1","CADB01",588,8147,"2011-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/665/GCA_000234665.4_ASM23466v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/665/GCF_000234665.1_ASM23466v4"
"Crithidia fasciculata","Eukaryota;Protists;Kinetoplasts","Cf-Cl","SAMN02953828","PRJNA165885","GCA_000331325.2"," Chromosome",41.2974,57.0071,"chromosome 1:CM003408.1; chromosome 2:CM003409.1; chromosome 3:CM003410.1; chromosome 4:CM003411.1; chromosome 5:CM003412.1; chromosome 6:CM003413.1; chromosome 7:CM003414.1; chromosome 8:CM003415.1; chromosome 9:CM003416.1; chromosome 10:CM003417.1; chromosome 11:CM003418.1; chromosome 12:CM003419.1; chromosome 13:CM003420.1; chromosome 14:CM003421.1; chromosome 15:CM003422.1; chromosome 16:CM003423.1; chromosome 17:CM003424.1; chromosome 18:CM003425.1; chromosome 19:CM003426.1; chromosome 20:CM003427.1; chromosome 21:CM003428.1; chromosome 22:CM003429.1; chromosome 23:CM003430.1; chromosome 24:CM003431.1; chromosome 25:CM003432.1; chromosome 26:CM003433.1; chromosome 27:CM003434.1; chromosome 28:CM003435.1; chromosome 29:CM003436.1; chromosome 30:CM003407.1; kinetoplast KP:CM003437.1","AODS02",458,0,"2013-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/325/GCA_000331325.2_Crithidia_fasciculata-14.0",
"Spodoptera exigua","Eukaryota;Animals;Insects","WH-S","SAMN13242354","PRJNA588360","GCA_011316535.1"," Chromosome",446.801,36.6771,"chromosome 1:CM022047.1; chromosome 2:CM022048.1; chromosome 3:CM022049.1; chromosome 4:CM022050.1; chromosome 5:CM022051.1; chromosome 6:CM022052.1; chromosome 7:CM022053.1; chromosome 8:CM022054.1; chromosome 9:CM022055.1; chromosome 10:CM022056.1; chromosome 11:CM022057.1; chromosome 12:CM022058.1; chromosome 13:CM022059.1; chromosome 14:CM022060.1; chromosome 15:CM022061.1; chromosome 16:CM022062.1; chromosome 17:CM022063.1; chromosome 18:CM022064.1; chromosome 19:CM022065.1; chromosome 20:CM022066.1; chromosome 21:CM022067.1; chromosome 22:CM022068.1; chromosome 23:CM022069.1; chromosome 24:CM022070.1; chromosome 25:CM022071.1; chromosome 26:CM022072.1; chromosome 27:CM022073.1; chromosome 28:CM022074.1; chromosome 29:CM022075.1; chromosome 30:CM022076.1; chromosome 31:CM022077.1; chromosome W:CM022078.1","WNNL01",301,0,"2020-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/316/535/GCA_011316535.1_NJAU_Sexi_v1",
"Babesia bigemina","Eukaryota;Protists;Apicomplexans","Bond","SAMEA819968","PRJEB5046","GCA_000981445.1"," Chromosome",13.8409,50.6137,"chromosome I:NC_027216.1/LK391707.1; chromosome II:NC_027217.1/LK391708.1; chromosome III:NC_027218.1/LK391709.1; chromosome IV:NC_027219.1/LK391710.1; chromosome V:NC_027220.1/LK391711.1",,483,5079,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/445/GCA_000981445.1_Bbig001","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/445/GCF_000981445.1_Bbig001"
"Sinonovacula constricta","Eukaryota;Animals;Other Animals","YC_2019","SAMN10522931","PRJNA508451","GCA_007844125.1"," Chromosome",1220.85,35.3369,"chromosome 1:CM017555.1; chromosome 2:CM017556.1; chromosome 3:CM017557.1; chromosome 4:CM017558.1; chromosome 5:CM017559.1; chromosome 6:CM017560.1; chromosome 7:CM017561.1; chromosome 8:CM017562.1; chromosome 9:CM017563.1; chromosome 10:CM017564.1; chromosome 11:CM017565.1; chromosome 12:CM017566.1; chromosome 13:CM017567.1; chromosome 14:CM017568.1; chromosome 15:CM017569.1; chromosome 16:CM017570.1; chromosome 17:CM017571.1; chromosome 18:CM017572.1; chromosome 19:CM017573.1","RXXH01",362,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/125/GCA_007844125.1_ASM784412v1",
"Astatotilapia calliptera","Eukaryota;Animals;Fishes","","SAMEA104026430","PRJEB24325","GCA_900246225.3"," Chromosome",880.446,41.0816,"chromosome 1:NC_039302.1/LS420019.1; chromosome 2:NC_039303.1/LS420020.1; chromosome 3:NC_039304.1/LS420021.1; chromosome 4:NC_039305.1/LS420022.1; chromosome 5:NC_039306.1/LS420023.1; chromosome 6:NC_039307.1/LS420024.1; chromosome 7:NC_039308.1/LS420025.1; chromosome 8:NC_039309.1/LS420026.1; chromosome 9:NC_039310.1/LS420027.1; chromosome 10:NC_039311.1/LS420028.1; chromosome 11:NC_039312.1/LS420029.1; chromosome 12:NC_039313.1/LS420030.1; chromosome 13:NC_039314.1/LS420031.1; chromosome 14:NC_039315.1/LS420032.1; chromosome 15:NC_039316.1/LS420033.1; chromosome 16:NC_039317.1/LS420034.1; chromosome 17:NC_039318.1/LS420035.1; chromosome 18:NC_039319.1/LS420036.1; chromosome 19:NC_039320.1/LS420037.1; chromosome 20:NC_039321.1/LS420038.1; chromosome 22:NC_039322.1/LS420039.1; chromosome 23:NC_039323.1/LS420040.1; mitochondrion MT:NC_018560.1/","OFHY03",249,52718,"2018-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/225/GCA_900246225.3_fAstCal1.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/246/225/GCF_900246225.1_fAstCal1.2"
"Xiphophorus hellerii","Eukaryota;Animals;Fishes","12219","SAMN09545741","PRJNA604828","GCA_003331165.2"," Chromosome",732.906,39.1213,"chromosome 1:NC_045672.1/CM010375.2; chromosome 2:NC_045673.1/CM010376.2; chromosome 3:NC_045674.1/CM010377.2; chromosome 4:NC_045675.1/CM010378.2; chromosome 5:NC_045676.1/CM010379.1; chromosome 6:NC_045677.1/CM010380.2; chromosome 7:NC_045678.1/CM010381.2; chromosome 8:NC_045679.1/CM010382.2; chromosome 9:NC_045680.1/CM010383.2; chromosome 10:NC_045681.1/CM010384.2; chromosome 11:NC_045682.1/CM010385.2; chromosome 12:NC_045683.1/CM010386.2; chromosome 13:NC_045684.1/CM010387.2; chromosome 14:NC_045685.1/CM010388.2; chromosome 15:NC_045686.1/CM010389.2; chromosome 16:NC_045687.1/CM010390.2; chromosome 17:NC_045688.1/CM010391.2; chromosome 18:NC_045689.1/CM010392.2; chromosome 19:NC_045690.1/CM010393.2; chromosome 20:NC_045691.1/CM010394.2; chromosome 21:NC_045692.1/CM010395.1; chromosome 22:NC_045693.1/CM010396.2; chromosome 23:NC_045694.1/CM010397.2; chromosome 24:NC_045695.1/CM010398.2; mitochondrion MT:NC_013089.1/","QPIH02",87,46248,"2018-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/331/165/GCA_003331165.2_Xiphophorus_hellerii-4.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/331/165/GCF_003331165.1_Xiphophorus_hellerii-4.1"
"Clupea harengus","Eukaryota;Animals;Fishes","","SAMEA5339254","PRJEB31270","GCA_900700415.1"," Chromosome",725.687,44.2476,"chromosome 1:NC_045152.1/LR535857.1; chromosome 2:NC_045153.1/LR535858.1; chromosome 3:NC_045154.1/LR535859.1; chromosome 4:NC_045155.1/LR535860.1; chromosome 5:NC_045156.1/LR535861.1; chromosome 6:NC_045157.1/LR535862.1; chromosome 7:NC_045158.1/LR535863.1; chromosome 8:NC_045159.1/LR535864.1; chromosome 9:NC_045160.1/LR535865.1; chromosome 10:NC_045161.1/LR535866.1; chromosome 11:NC_045162.1/LR535867.1; chromosome 12:NC_045163.1/LR535868.1; chromosome 13:NC_045164.1/LR535869.1; chromosome 14:NC_045165.1/LR535870.1; chromosome 15:NC_045166.1/LR535871.1; chromosome 16:NC_045167.1/LR535872.1; chromosome 17:NC_045168.1/LR535873.1; chromosome 18:NC_045169.1/LR535874.1; chromosome 19:NC_045170.1/LR535875.1; chromosome 20:NC_045171.1/LR535876.1; chromosome 21:NC_045172.1/LR535877.1; chromosome 22:NC_045173.1/LR535878.1; chromosome 23:NC_045174.1/LR535879.1; chromosome 24:NC_045175.1/LR535880.1; chromosome 25:NC_045176.1/LR535881.1; chromosome 26:NC_045177.1/LR535882.1; mitochondrion MT:NC_009577.1/","CAADHV01",27,42709,"2019-03-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/700/415/GCA_900700415.1_Ch_v2.0.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/700/415/GCF_900700415.1_Ch_v2.0.2"
